CollectionName,Year,Month,OffsetWeeks,OffsetDays,StartTime,StopTime,SetForWholeYear,RemoveExisting,ApplyTo,
MWU.SU.Servers.Week1_Day3A,2016,10,0,1,00:15,03:15,Yes,Yes,SoftwareUpdates,
MWU.SU.Servers.Week1_Day3B,2016,10,0,1,03:15,06:15,Yes,Yes,SoftwareUpdates,
MWU.SU.Servers.Week1_Day5A,2016,10,0,3,00:15,03:15,Yes,Yes,SoftwareUpdates,
MWU.SU.Servers.Week1_Day5B,2016,10,0,3,03:15,06:15,Yes,Yes,SoftwareUpdates,
MWU.SU.Servers.Week2_Day5A,2016,10,1,3,00:15,03:15,Yes,Yes,SoftwareUpdates,
MWU.SU.Servers.Week2_Day5B,2016,10,1,3,03:15,06:15,Yes,Yes,SoftwareUpdates,
MWU.SU.Servers.Week3_Day5A,2016,10,2,3,00:15,03:15,Yes,Yes,SoftwareUpdates,
MWU.SU.Servers.Week3_Day5B,2016,10,2,3,03:15,06:15,Yes,Yes,SoftwareUpdates,
MWU.SU.Servers.Week4_Day5A,2016,10,3,3,00:15,03:15,Yes,Yes,SoftwareUpdates,
MWU.SU.Servers.Week4_Day5B,2016,10,3,3,03:15,06:15,Yes,Yes,SoftwareUpdates,
MWU.SU.Servers.Week5_Day5A,2016,10,4,3,00:15,03:15,Yes,Yes,SoftwareUpdates,
MWU.SU.Servers.Week5_Day5B,2016,10,4,3,03:15,06:15,Yes,Yes,SoftwareUpdates,
